,0,1,2,3,4,5,6,7,8,9
0,"('0.00 < parC4 <= 1.00', 0.3377218858024874, 0, 0)","('0.00 < parC2 <= 1.00', 0.310377152720277, 0, 0)","('parC3 <= 0.00', -0.3055067161978319, 0, 0)","('befC4 <= 0.00', 0.1533932107505295, 0, 0)","('PrevFail <= 0.00', 0.13977682518934526, 0, 0)","('befFC5 <= 0.00', -0.12020280633622873, 0, 0)","('befDOC6 <= 0.00', -0.11785614380424608, 0, 0)","('befC3 > 0.00', -0.11557574113554635, 0, 0)","('PrevDO <= 0.00', -0.10703919632341251, 0, 0)","('befC2 <= 0.00', 0.10472519897015495, 0, 0)"
1,"('parC4 <= 0.00', -0.3450675572368324, 1, 0)","('parC2 <= 0.00', -0.301922032070149, 1, 0)","('0.00 < parC3 <= 1.00', 0.30177347024419815, 1, 0)","('befC2 > 0.00', -0.12993486286582615, 1, 0)","('befC4 > 0.00', -0.12892477425857185, 1, 0)","('PrevDO <= 0.00', -0.12275041804944693, 1, 0)","('befC3 <= 0.00', 0.11504983481542708, 1, 0)","('befDOC5 > 0.00', 0.11119024744228916, 1, 0)","('PrevFail <= 0.00', 0.1081621116136136, 1, 0)","('befDOC6 <= 0.00', -0.10781708318165319, 1, 0)"
2,"('parC4 <= 0.00', -0.31963962480226654, 2, 0)","('parC3 <= 0.00', -0.3055576169946179, 2, 0)","('0.00 < parC2 <= 1.00', 0.2872429107555954, 2, 0)","('befC4 > 0.00', -0.16410840854208641, 2, 0)","('befC2 <= 0.00', 0.14441421637290863, 2, 0)","('befFC5 > 0.00', 0.13074523271880042, 2, 0)","('befDOC6 > 0.00', 0.12244974500954522, 2, 0)","('PrevFail <= 0.00', 0.11873832760527081, 2, 0)","('befFC6 <= 0.00', -0.11649447589399062, 2, 0)","('PrevDO > 0.00', 0.09577182489083216, 2, 0)"
3,"('0.00 < parC4 <= 1.00', 0.34502911015434556, 3, 0)","('parC3 <= 0.00', -0.3046795451725162, 3, 0)","('0.00 < parC2 <= 1.00', 0.2994367794604863, 3, 0)","('befC4 <= 0.00', 0.1612081808753071, 3, 0)","('PrevDO <= 0.00', -0.13845158765425802, 3, 0)","('befFC5 <= 0.00', -0.13301239587547029, 3, 0)","('befC2 <= 0.00', 0.13072351032599858, 3, 0)","('PrevFail <= 0.00', 0.12343043867255517, 3, 0)","('befDOC5 > 0.00', 0.12121860900335552, 3, 0)","('befFC6 <= 0.00', -0.104677263803618, 3, 0)"
4,"('0.00 < parC4 <= 1.00', 0.3521401735769402, 4, 1)","('0.00 < parC3 <= 1.00', 0.326067537005426, 4, 1)","('0.00 < parC2 <= 1.00', 0.3153460352383466, 4, 1)","('befC4 <= 0.00', 0.17431448679566253, 4, 1)","('befC2 <= 0.00', 0.16157128275475477, 4, 1)","('befDOC6 <= 0.00', -0.13203480045331087, 4, 1)","('PrevDO <= 0.00', -0.12952014250733776, 4, 1)","('befC3 <= 0.00', 0.12505325537657458, 4, 1)","('PrevFail <= 0.00', 0.11697325648750723, 4, 1)","('befFC6 <= 0.00', -0.11439370681621414, 4, 1)"
5,"('0.00 < parC4 <= 1.00', 0.33946290328552914, 5, 0)","('0.00 < parC2 <= 1.00', 0.3113654804948492, 5, 0)","('parC3 <= 0.00', -0.3063071349821826, 5, 0)","('befC4 <= 0.00', 0.17017276235134773, 5, 0)","('PrevDO <= 0.00', -0.13323678814243078, 5, 0)","('befFC6 <= 0.00', -0.1318407593599353, 5, 0)","('befC2 <= 0.00', 0.12931611368794277, 5, 0)","('PrevFail <= 0.00', 0.12488806427580784, 5, 0)","('befC3 > 0.00', -0.10922084715372894, 5, 0)","('befDOC5 <= 0.00', -0.10767126122399993, 5, 0)"
6,"('0.00 < parC4 <= 1.00', 0.3368210078802877, 6, 1)","('0.00 < parC3 <= 1.00', 0.3072932806026217, 6, 1)","('0.00 < parC2 <= 1.00', 0.29791936388519497, 6, 1)","('befC2 <= 0.00', 0.1443236366375943, 6, 1)","('befFC6 > 0.00', 0.14245589569614475, 6, 1)","('befC4 <= 0.00', 0.14025443165459647, 6, 1)","('PrevFail <= 0.00', 0.12593691433282547, 6, 1)","('befDOC5 <= 0.00', -0.1235358935292893, 6, 1)","('PrevDO <= 0.00', -0.11197166633003536, 6, 1)","('befDOC6 <= 0.00', -0.10605085471152517, 6, 1)"
7,"('0.00 < parC4 <= 1.00', 0.3456570849958655, 7, 0)","('0.00 < parC3 <= 1.00', 0.3039264267997237, 7, 0)","('0.00 < parC2 <= 1.00', 0.3012991671741101, 7, 0)","('befC2 <= 0.00', 0.1634835606936693, 7, 0)","('befC4 <= 0.00', 0.15623070444592801, 7, 0)","('PrevDO <= 0.00', -0.13674077851412783, 7, 0)","('befFC5 <= 0.00', -0.1251185848831062, 7, 0)","('PrevFail > 0.00', -0.12334461347763853, 7, 0)","('befDOC5 <= 0.00', -0.12186845579879539, 7, 0)","('befDOC6 <= 0.00', -0.11097415178076976, 7, 0)"
8,"('0.00 < parC4 <= 1.00', 0.3455667383233979, 8, 0)","('parC3 <= 0.00', -0.3209279741662769, 8, 0)","('0.00 < parC2 <= 1.00', 0.31075720824735786, 8, 0)","('befC4 <= 0.00', 0.15384008306153418, 8, 0)","('PrevFail <= 0.00', 0.1339172546312376, 8, 0)","('PrevDO <= 0.00', -0.11821769610592309, 8, 0)","('befC2 <= 0.00', 0.1156948768449413, 8, 0)","('befFC6 <= 0.00', -0.110708980360015, 8, 0)","('befFC5 <= 0.00', -0.10008047749629526, 8, 0)","('befC3 > 0.00', -0.09441472550344394, 8, 0)"
9,"('0.00 < parC4 <= 1.00', 0.33418954320506744, 9, 1)","('0.00 < parC2 <= 1.00', 0.3120886752631457, 9, 1)","('0.00 < parC3 <= 1.00', 0.3063413181619294, 9, 1)","('befC2 <= 0.00', 0.16753966856824357, 9, 1)","('befC4 <= 0.00', 0.1609887083795516, 9, 1)","('PrevFail <= 0.00', 0.1305672311185449, 9, 1)","('befFC5 <= 0.00', -0.12924933417613785, 9, 1)","('befFC6 <= 0.00', -0.12914784257335923, 9, 1)","('PrevDO <= 0.00', -0.1251814239087922, 9, 1)","('befDOC5 <= 0.00', -0.10767859719674633, 9, 1)"
