ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
4,parC4,parC3,parC2,befC4,befC2,None,None,befC3,PrevFail,None
6,parC4,parC3,parC2,befC2,befFC6,befC4,PrevFail,None,None,None
9,parC4,parC2,parC3,befC2,befC4,PrevFail,None,None,None,None
15,parC4,parC2,parC3,befC4,befC2,PrevDO,None,PrevFail,None,None
18,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,befFC6,None,None
20,parC4,parC3,parC2,befC4,befC2,PrevFail,None,befDOC6,None,None
21,parC4,parC3,parC2,befC4,befC2,PrevFail,None,PrevDO,None,None
25,parC4,parC3,parC2,befC2,befC4,PrevFail,None,befC3,befFC5,None
33,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,befC3,befFC5
34,parC4,parC3,parC2,befC2,befC4,None,None,None,befC3,None
35,parC4,parC2,parC3,befC4,befC2,befFC6,PrevFail,None,PrevDO,befDOC5
38,parC4,parC3,parC2,befC4,PrevFail,befC2,befDOC6,None,befFC5,befDOC5
39,parC4,parC3,parC2,befC4,befC2,None,befC3,None,None,None
42,parC4,parC3,parC2,befC2,None,befC4,PrevFail,None,None,None
49,parC4,parC3,parC2,befC2,befC4,PrevDO,befFC6,PrevFail,None,None
50,parC4,parC3,parC2,befC2,befC4,PrevFail,None,befDOC5,befDOC6,None
57,parC4,parC3,parC2,befC4,befC2,None,PrevFail,befC3,None,None
59,parC4,parC2,parC3,befC2,befC4,PrevFail,befDOC6,None,None,befFC6
65,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befDOC6,None
70,parC4,parC3,parC2,befC2,befC4,PrevDO,None,None,None,PrevFail
71,parC4,parC3,parC2,befC2,befC4,None,None,befC3,PrevFail,None
74,parC4,parC3,parC2,befC4,befC2,None,None,None,None,None
77,parC4,parC3,parC2,befC4,befC2,None,None,None,None,None
81,parC3,parC2,parC4,befC4,befC2,PrevFail,None,None,None,None
84,parC4,parC3,parC2,befC4,None,befC2,None,befC3,None,PrevDO
88,parC4,parC3,parC2,befC4,None,befC2,befFC6,None,None,befC3
91,parC4,parC3,parC2,befC4,PrevFail,None,befC2,None,befFC5,None
96,parC4,parC2,parC3,befC4,befC2,PrevDO,None,None,befC3,PrevFail
102,parC4,parC2,parC3,befC4,befC2,PrevFail,befC3,None,None,None
103,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,None,None
108,parC4,parC3,parC2,befC4,None,None,PrevFail,befC2,befDOC5,None
110,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,None,befFC5,befC3
112,parC4,parC2,parC3,befC4,befC2,befC3,PrevFail,None,None,None
118,parC4,parC3,parC2,befC2,befC4,None,befC3,befFC5,None,None
119,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
121,parC4,parC3,parC2,befC4,PrevDO,befC2,befFC6,PrevFail,None,None
122,parC4,parC3,parC2,befC4,PrevFail,None,befC2,befC3,None,PrevDO
124,parC4,parC3,parC2,befC2,befC4,befDOC6,PrevFail,None,befC3,None
125,parC4,parC3,parC2,befC4,PrevDO,befC2,PrevFail,None,befC3,befDOC6
131,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,None,befDOC6,None
133,parC4,parC2,parC3,befC4,befC2,PrevFail,None,befDOC5,None,None
137,parC4,parC3,parC2,PrevFail,befC4,None,befC2,befC3,None,None
